[C],1378319,A07BA51
CCOC(=O)C1(CCN(CCC(C#N)(c2ccccc2)c3ccccc3)CC1)c4ccccc4,675245,A07DA01
CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4,62259,A07DA03
OC(=O)C1(CCN(CCC(C#N)(c2ccccc2)c3ccccc3)CC1)c4ccccc4,675272,A07DA04
CN(C)C(=O)C(CC[N@+]1([O-])CC[C@](O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4,1377384,A07DA05
CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@@H]2C=C[C@@H]4O)c35,6005,A07DA52
CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4,62259,A07DA53
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,27370,A07EA01
C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)CO)[C@@]4(C)C[C@H](O)[C@H]23,374052,A07EA02
C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,27229,A07EA03
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,27152,A07EA04
CC(C)(C)C(=O)SCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,1379382,A07EA05
CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,313314,A07EA06
CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]12C,674451,A07EA07
[Na+].[Na+].OC(COc1cccc2OC(=CC(=O)c12)C(=O)[O-])COc3cccc4OC(=CC(=O)c34)C(=O)[O-],6480,A07EB01
OC(=O)c1cc(ccc1O)N=Nc2ccc(cc2)S(=O)(=O)Nc3ccccn3,1223,A07EC01
Nc1ccc(O)c(c1)C(=O)O,33202,A07EC02
OC(=O)c1cc(ccc1O)N=Nc2ccc(O)c(c2)C(=O)O,1369,A07EC03
OC(=O)CCNC(=O)c1ccc(cc1)N=Nc2ccc(O)c(c2)C(=O)O,675297,A07EC04
CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc2ccccc2,1376042,A07XA04
CC(C)(N)Cc1ccccc1,453532,A08AA01
CCNC(C)Cc1cccc(c1)C(F)(F)F,139434,A08AA02
Cl.CCN(CC)C(C)C(=O)c1ccccc1,543703,A08AA03
CCN[C@@H](C)Cc1cccc(c1)C(F)(F)F,421350,A08AA04
OC1(N2CCN=C2c3ccccc13)c4ccc(Cl)cc4,46385,A08AA05
CCNC(C)Cc1ccccc1,10610,A08AA06
C[C@H](N)[C@@H](O)c1ccccc1,835925,A08AA07
CC(Cc1ccccc1)NCc2ccccc2Cl,685092,A08AA08
CC(Cc1ccccc1)NCCCCl,1383402,A08AA09
CC(C)CC(N(C)C)C1(CCC1)c2ccc(Cl)cc2,358192,A08AA10
CN[C@@H](C)[C@H](O)c1ccccc1,351701,A08AA56
CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,293438,A08AB01
Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Cl)cc3)C(=O)NN4CCCCC4,16088,A08AX01
[Cl-].C[N+](C)(C)CC(=O)O,675081,A09AB02
Cl,694171,A09AB03
OC(=O)CC(O)(CC(=O)O)C(=O)O,240769,A09AB04
[F-].[Na+],426045,A01AA01
[Na+].[Na+].[O-]P(=O)([O-])F,1248730,A01AA02
F.F.CCCCCCCCCCCCCCCCCCN(CCO)CCCN(CCO)CCO,1378845,A01AA03
[F-].[Na+],426045,A01AA51
OO,195106,A01AB02
Clc1ccc(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)Nc2ccc(Cl)cc2)cc1,48849,A01AB03
C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]2(O)C[C@H](O)[C@H]([C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@H]1C)O2)C(=O)O,8873,A01AB04
CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1,660961,A01AB06
Oc1cccc2cccnc12,130007,A01AB07
NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]4O[C@H](CN)[C@@H](O)[C@H](O)[C@H]4N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O,312304,A01AB08
Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)c(Cl)c1,8917,A01AB09
C[C@@H]1C\C=C\C=C\C=C\C=C\[C@@H](C[C@@H]2O[C@](O)(C[C@@H](O)C[C@H]3O[C@@H]3\C=C\C(=O)O1)C[C@H](O)[C@H]2C(=O)O)O[C@@H]4O[C@H](C)[C@@H](O)[C@H](N)[C@@H]4O,674607,A01AB10
CCCCC(CC)CN1CN(CC(CC)CCCC)CC(C)(N)C1,240864,A01AB12
CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N)C(=O)c4c(O)cccc4[C@@]3(C)O,373985,A01AB13
[Cl-].CCCCCCCCCCCC[N+](CCO)(CCO)Cc1ccccc1,1376525,A01AB14
[I-].CC[N+](C)(CC)CCSC1=Nc2ccccc2N=C(C1)c3ccc(Sc4ccccc4)cc3,1379335,A01AB15
COC(=O)C1C(O)CC2(O)CC(O)CC(O)CC(O)CC(O)CC(=O)CC(O)CC(=O)OC(C(C)CCC(O)CC(=O)c3ccc(N)cc3)C(C)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\C(CC1O2)O[C@@H]4O[C@H](C)[C@@H](O)[C@H](N)[C@@H]4O,1378696,A01AB16
Cc1ncc([N+](=O)[O-])n1CCO,27912,A01AB17
Clc1ccccc1C(c2ccccc2)(c3ccccc3)n4ccnc4,13494,A01AB18
CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N)C(=O)c4c(O)ccc(Cl)c4[C@@]3(C)O,438486,A01AB21
C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=C(C(=O)N)C(=O)[C@@]3(O)C(=C2C(=O)c4c(O)cccc14)O)O,371546,A01AB22
CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4c(ccc(O)c4C(=O)C3=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N)N(C)C,371561,A01AB23
C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO,381691,A01AC01
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,365281,A01AC02
C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)CO)[C@@]4(C)C[C@H](O)[C@H]23,374052,A01AC03
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,27370,A01AC54
CNC[C@H](O)c1ccc(O)c(O)c1,28976,A01AD01
CN(C)CCCOc1nn(Cc2ccccc2)c3ccccc13,9913,A01AD02
CC(=O)Oc1ccccc1C(=O)O,1280,A01AD05
CNCC(=O)c1ccc(O)c(O)c1,1376266,A01AD06
CC(C)c1ccc2Oc3nc(N)c(cc3C(=O)c2c1)C(=O)O,150549,A01AD07
[Mg+2].[O-]C(=O)[O-],674687,A02AA01
O=[Mg],674523,A02AA02
[OH-].[OH-].[Mg+2],674669,A02AA04
[OH-].[OH-].[OH-].[Al+3],674657,A02AB01
[Ca+2].[O-]C(=O)[O-],674490,A02AC01
CN\C(=N/CCSCc1nc[nH]c1C)\NC#N,1620,A02BA01
CNC(=C[N+](=O)[O-])NCCSCc1oc(CN(C)C)cc1,1153672,A02BA02
NC(=N)Nc1nc(CSCCC(=N)NS(=O)(=O)N)cs1,78303,A02BA03
CN\C(=C/[N+](=O)[O-])\NCCSCc1csc(CN(C)C)n1,27604,A02BA04
CN(C)Cc1oc(CSCCN\C(=C/[N+](=O)[O-])\NCc2ccc3OCOc3c2)cc1,1249054,A02BA05
Cl.CC(=O)OCC(=O)NCCCOc1cccc(CN2CCCCC2)c1,1377141,A02BA06
[Bi+3].CNC(=C[N+](=O)[O-])NCCSCc1oc(CN(C)C)cc1.OC(CC(=O)[O-])(CC(=O)[O-])C(=O)[O-],1383722,A02BA07
[O-][S+](CC(=O)NC\C=C/COc1cc(CN2CCCCC2)ccn1)Cc3occc3,1121332,A02BA08
CN\C(=N/CCSCc1nc[nH]c1C)\NC#N,1620,A02BA51
NC(=N)Nc1nc(CSCCC(=N)NS(=O)(=O)N)cs1,78303,A02BA53
CCCCC(C)(O)C\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,22391,A02BB01
COC(=O)CCC=C=CC[C@@H]1[C@@H](\C=C\[C@@H](O)COc2ccccc2)[C@H](O)CC1=O,1376464,A02BB02
COc1ccc2[nH]c(nc2c1)[S+]([O-])Cc3ncc(C)c(OC)c3C,419601,A02BC01
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,21716,A03AD01
CCOc1ccc(\C=C\2/NCCc3cc(OCC)c(OCC)cc23)cc1OCC,565387,A03AD02
