NAME,STATE,pKa,pH,IONIZED
115,basic,8.86,2,99.9999861962
115,basic,8.86,3,99.9998619618
115,basic,8.86,4,99.9986196348
115,basic,8.86,5,99.9861980626
115,basic,8.86,6,99.8621518569
115,basic,8.86,7,98.6384108971
115,basic,8.86,8,87.8704951212
115,basic,8.86,9,42.0100239642
115,basic,8.86,10,6.75500289966
146,acidic,5.45,2,0.0354687541345
146,acidic,5.45,3,0.353558914865
146,acidic,5.45,4,3.42655512848
146,acidic,5.45,5,26.189096746
146,acidic,5.45,6,78.0129603993
146,acidic,5.45,7,97.2588725373
146,acidic,5.45,8,99.7189538027
146,acidic,5.45,9,99.9718241117
146,acidic,5.45,10,99.9971816965
147,acidic,5.95,2,0.0112189257588
147,acidic,5.95,3,0.112076093984
147,acidic,5.95,4,1.10956888663
147,acidic,5.95,5,10.0882628357
147,acidic,5.95,6,52.8750563892
147,acidic,5.95,7,91.8168175245
147,acidic,5.95,8,99.116622175
147,acidic,5.95,9,99.9109542683
147,acidic,5.95,10,99.9910882849
173,acidic,3.8,2,1.56016622418
173,acidic,3.8,3,13.6806888603
173,acidic,3.8,4,61.3136820153
173,acidic,3.8,5,94.0649056897
173,acidic,3.8,6,99.3729987659
173,acidic,3.8,7,99.9369440512
173,acidic,3.8,8,99.9936908246
173,acidic,3.8,9,99.9993690466
173,acidic,3.8,10,99.9999369043
543,basic,10.01,2,99.9999990228
543,basic,10.01,3,99.9999902276
543,basic,10.01,4,99.9999022764
543,basic,10.01,5,99.9990227723
543,basic,10.01,6,99.9902285827
543,basic,10.01,7,99.9023716839
543,basic,10.01,8,99.0322202827
543,basic,10.01,9,91.0976031465
543,basic,10.01,10,50.5756208411
666,acidic,5.68,2,0.020888597062
666,acidic,5.68,3,0.208494007363
666,acidic,5.68,4,2.04653789382
666,acidic,5.68,5,17.2821983037
666,acidic,5.68,6,67.6301669493
666,acidic,5.68,7,95.432321896
666,acidic,5.68,8,99.5236498628
666,acidic,5.68,9,99.9521598885
666,acidic,5.68,10,99.9952139282
1124,acidic,7.21,2,0.000616591199991
1124,acidic,7.21,3,0.00616556985266
1124,acidic,7.21,4,0.0616215046744
1124,acidic,7.21,5,0.612816406528
1124,acidic,7.21,6,5.80784141953
1124,acidic,7.21,7,38.1415877911
1124,acidic,7.21,8,86.0451161758
1124,acidic,7.21,9,98.4040728109
1124,acidic,7.21,10,99.8380815912
1125,acidic,6.93,2,0.00117488375126
1125,acidic,6.93,3,0.0117475953273
1125,acidic,6.93,4,0.117351879058
1125,acidic,6.93,5,1.16125400997
1125,acidic,6.93,6,10.5137210356
1125,acidic,6.93,7,54.0208228324
1125,acidic,6.93,8,92.1562325057
1125,acidic,6.93,9,99.1560451823
1125,acidic,6.93,10,99.9149585782
