MOLREGNO,SMILES,MOST_ACIDIC,MOST_BASIC,TRADE_NAME,CHARGE_STATE,Name,CX_Acidic_1,CX_Acidic_2,CX_Basic_1,CX_Basic_2,Delta Acidic,Delta Basic,N_Count,O_Count,Organic
115,CN1CCC[C@H]1c2cccnc2,,8.0,HABITROL,Neutral,115,,,8.86,,,-0.86,2.0,0.0,True
146,CC1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O,5.19,7.37,FLOXIN,Charged,146,5.45,,,,-0.26,,3.0,4.0,True
147,CCN1C=C(C(=O)O)C(=O)c2ccc(C)nc12,3.45,6.12,NALIDIXIC ACID,Charged,147,5.95,,,,-2.5,,2.0,3.0,True
173,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c3ccc(Cl)cc3,3.96,,INDO-LEMMON,Charged,173,3.8,,,,0.16,,1.0,4.0,True
241,OC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O,6.43,8.68,CIPRO,Charged,241,5.76,,8.68,,0.67,0.0,3.0,3.0,True
246,CCN1C=C(C(=O)O)C(=O)c2cc(F)c(cc12)N3CCNCC3,0.16,8.68,CHIBROXIN,Charged,246,5.77,,8.68,,-5.61,0.0,3.0,3.0,True
543,CC(N)Cc1ccccc1,,9.94,BIPHETAMINE 12.5,Charged,543,,,10.01,,,-0.07,1.0,0.0,True
619,CC1Cc2ccccc2N1NC(=O)c3ccc(Cl)c(c3)S(=O)(=O)N,9.35,1.87,INDAPAMIDE,Neutral,619,,,,,,,3.0,3.0,True
635,CCOC(=O)c1ncn2c1CN(C)C(=O)c3cc(F)ccc23,,0.86,FLUMAZENIL,Neutral,635,,,,,,,3.0,3.0,True
666,Cc1c(C)c2OC(C)(COc3ccc(CC4SC(=O)NC4=O)cc3)CCc2c(C)c1O,6.35,,PRELAY,Neutral,666,6.61,,,,-0.26,,1.0,5.0,True
717,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc2ccc(C#N)c(c2)C(F)(F)F,11.49,,BICALUTAMIDE,Neutral,717,,,,,,,2.0,4.0,True
721,CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,,3.4,DIASTAT,Neutral,721,,,,,,,2.0,1.0,True
860,CCC(=C(CC)/c1ccc(O)cc1)c2ccc(O)cc2,10.19,,DIETHYLSTILBESTROL,Neutral,860,,,,,,,0.0,2.0,True
892,[Cl-].C[N+](C)(C)CCOC(=O)N,12.54,,CARBACHOL,Neutral,892,,,,,,,2.0,2.0,True
921,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,8.28,,DILANTIN,Neutral,921,,,,,,,2.0,2.0,True
923,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)C=C(/C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)C=CC=CC=C(/C)[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N4CCCC[C@H]4C(=O)O2)OC)CC[C@H]1O,10.4,,RAPAMUNE,Neutral,923,,,,,,,1.0,13.0,True
924,CO[C@@H]1C[C@@H](CC[C@H]1O)C=C(/C)[C@H]2OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@]4(O)O[C@H]([C@H](C[C@@H](C)CC(=C[C@@H](CC=C)C(=O)C[C@H](O)[C@H]2C)C)OC)[C@H](C[C@H]4C)OC,9.97,,PROGRAF,Neutral,924,,,,,,,1.0,12.0,True
1063,COc1c2OC(=O)C=Cc2cc3ccoc13,,,8-MOP,Neutral,1063,,,,,,,0.0,4.0,True
1085,NS(=O)(=O)c1cc(Cl)c(Cl)c(c1)S(=O)(=O)N,8.95,,DARANIDE,Neutral,1085,,,,,,,2.0,4.0,True
1096,CCOc1ccc2nc(sc2c1)S(=O)(=O)N,8.41,,CARDRASE,Neutral,1096,,,,,,,2.0,3.0,True
