ID	apKa1	bpKa1	atoms
115		8.86	2
146	5.45	6.20	26,10
147	5.95	4.68	8,16
173	3.80	-2.27	13,18
241	5.76	8.68	1,16
246	5.77	8.68	8,21
543		10.01	3
619	8.85	0.10	24,10
635		3.27	7
666	5.68	-4.56	22,10
717	11.95	-4.04	3,3
721		2.92	6
860	9.13	-5.96	11,11
892	15.23		11
921	9.47	-9.05	3,1
923	9.96	-3.04	57,62
924	9.96	-2.94	33,56
1063		-2.93	15
1085	7.94		16
1096	7.51	-1.93	16,8
1124	7.21	-3.64	14,7
1125	6.93	-3.32	13,6
1159	10.99	2.27	11,1
1216	17.33	7.16	11,9
1223	3.30	2.40	1,28
1279	14.08	9.67	7,4
1280	3.41	-7.14	13,3
1620	14.16	6.53	10,12
1712	5.69	8.73	27,8
1795	5.45	6.20	27,11
1991	5.14		11
2045	9.09	-2.68	1,9
2046	4.25	-1.52	10,12
2080	17.22	7.77	6,4
2095	6.93	2.04	11,1
2130	6.99	2.01	7,15
2131	6.99	2.01	11,1
2208	5.00		10
2247	6.16	1.97	6,14
2261	15.90	7.75	17,2
2265	6.99	2.04	8,16
2327	8.48		11
2408	8.75		8
2431	8.83	3.67	14,2
2465	11.65	1.89	8,12
2484	5.80	2.17	6,14
2524	8.48		11
2525	4.30	2.14	4,12
2654	2.80	-4.96	15,11
2994	4.42	-4.84	17,8
3183	15.39	7.34	8,3
3345	10.80	-4.85	27,33
3730	1.73	9.85	15,3
3784	9.21	-6.25	10,8
3859	13.96	8.05	1,5
4193		-4.82	21
4345	12.45	5.06	19,5
4496	9.34	-4.89	9,23
4730	10.14	-4.91	5,5
4775	14.02	-3.23	25,25
4941	13.61	3.35	2,8
5028	11.59	-6.45	19,8
5582	4.32	-1.36	24,11
5638	10.15	8.99	23,2
5772	7.42	1.62	9,7
5797	12.45	4.99	23,3
5970		8.93	22
5975	9.35	4.16	25,12
6216		9.20	2
6317	11.69	4.28	8,15
6480	1.76	-3.39	20,3
6723	13.78	7.75	9,3
7494	4.66	-0.87	28,16
7714		8.76	6
8062	10.36	-1.18	5,52
8130	4.35	-1.63	29,8
8167	5.15	-7.38	1,1
8193	7.34	3.28	1,12
8516	4.33		7
8531	14.08	9.76	9,5
8543	14.09	9.67	7,4
8838		10.01	3
8873	3.58	9.11	83,53
8917		6.77	13
9097	10.96	-3.05	58,13
9217	8.84	-5.49	4,4
9495	14.91	-2.84	31,31
10009		-7.98	4
10840	11.96	-5.34	4,12
10898	13.30	-5.35	9,6
11002	4.46	1.72	1,13
11305	8.91	-3.52	1,12
11674	4.85		15
11819	10.98	-4.98	13,13
11968	2.27	1.01	3,23
12417	7.03	-1.00	7,8
12428	12.43	9.57	23,57
12465	3.30	7.92	25,9
12506	12.44	8.38	45,46
12825	18.92	-4.82	13,17
13329	9.68	-5.89	1,1
13342	4.54		4
13474	9.94	-4.81	7,2
13494		6.62	24
13590	0.91	6.80	13,6
13618	16.47	-2.16	3,3
13758	12.71	2.56	1,6
13928	5.00		6
13949	16.14	7.91	31,13
14125	4.30	-1.63	29,8
14406		6.61	10
14440	15.06	-1.16	27,29
15086	15.96	-3.75	1,3
15217	5.14		10
15990	0.27	9.43	25,1
16303	17.69	-4.32	7,2
16308	4.42		5
16415		-4.92	9
16450	9.46	-4.36	9,3
16485		-0.92	8
16505	15.59	8.21	1,4
16506	10.61	-1.47	1,3
16510	4.09	-8.13	15,3
16584		9.20	2
16591	3.88	-7.46	5,13
16592	5.62	-2.77	12,8
16654			
16656	2.79	4.19	1,8
16959	10.61	-2.24	1,3
17025	17.26	-1.81	4,4
17169	13.61	8.47	34,20
17347	13.61	2.39	19,36
17411	15.88	1.86	1,3
18694	10.70	-0.42	22,11
19344	12.94	-7.16	3,5
19469	12.88	-3.73	4,4
19915		8.77	9
20346		10.54	6
20496	1.99	0.40	3,19
20881	3.82	-2.00	11,3
21459	10.11	8.88	1,9
21523	4.29	-1.08	31,18
21697	14.84	-6.99	16,14
21845	15.75	9.04	9,4
22391	14.68	-0.95	15,7
22641	10.29	-5.08	17,17
23199		10.01	4
23522	13.06	-0.67	1,6
24418	13.61	8.47	34,20
24806	3.39	-4.87	27,13
26280	14.45	-1.17	4,9
26386	3.47	9.39	19,24
26431	4.73	-4.21	18,11
26590	10.28	4.08	5,7
27029	19.64	-0.93	12,17
27111	11.24	9.54	2,16
27152	12.42	-3.33	28,32
27229	12.58	-3.33	25,29
27251		8.89	17
27307	9.96	-2.98	20,16
27308	12.71	2.27	12,16
27340	7.59	-2.79	5,1
27370	12.58	-2.85	26,6
27419	18.08	4.32	6,7
27570	13.59	9.76	8,5
27575	12.58	-2.85	12,22
27604	7.37	9.54	4,2
27609		9.34	9
27610		6.67	2
27626	10.33	-0.88	14,24
27648	18.30	5.08	6,7
27912	15.42	2.57	12,3
27986		3.92	20
28310		-0.30	3
28331		-4.93	10
28699	0.69	9.91	15,2
28768	0.67	9.86	11,3
28939	9.63	8.96	14,4
28976	9.69	8.91	13,2
29090		4.54	8
29637	8.44	3.93	14,7
29989	3.89	-1.58	16,7
30072		8.77	9
30180	12.59	-2.97	8,1
30602	4.21	-2.72	37,29
31241	10.33	-1.66	14,23
31289		8.95	5
31422	13.61	-2.97	4,1
31491	3.75	-0.12	32,5
31804			
31811	10.73	-6.60	8,10
31857	19.03	-7.24	5,4
32027		8.42	17
32842	6.24	2.63	11,17
32869	3.89	9.79	7,1
33202	2.02	5.87	11,1
33216	5.00		10
33254	16.84	-1.99	17,17
33307	14.87	9.66	20,21
33576	13.80	9.13	7,27
33679	14.53	0.33	20,7
33727	4.88	-7.50	3,1
33809	4.50	-4.82	9,2
33889	10.17	1.97	23,3
33986	14.29	0.21	16,3
34094	10.12	9.40	13,5
34197	14.17	7.64	16,2
34608	17.82	-4.90	24,30
35271	4.83	-2.71	36,4
35486	15.02	-2.79	1,1
36662	14.03	8.74	15,12
36864	9.96	3.72	7,3
37266		8.39	2
37309	13.78	9.19	16,25
37316	13.39	-1.53	31,12
37493		-5.61	4
37820	8.94	-5.45	5,5
38569	7.20	-7.96	14,11
38588	8.73		14
38727	14.98	5.87	1,3
38898	16.44	4.57	1,3
39624	13.00	-4.53	9,11
39857	9.84	-1.75	1,7
40536	3.81	1.59	8,2
41644	-0.10		9
43740	4.21	8.36	6,1
43952	16.29	7.30	16,11
44010	2.31	9.24	5,1
44920	15.17	-4.23	12,31
46385	11.61	3.86	1,6
46726	4.33		8
46727	4.00	-1.05	26,13
47340		8.76	18
47675	8.06	-2.98	18,1
48701	1.05	1.76	16,3
49842		9.09	11
49869	19.40	-7.40	5,4
50440	14.42	-0.51	27,14
51042	17.62	1.08	7,9
51056	4.19	-4.83	18,2
51182	12.55	-0.06	21,3
52087	12.81	-3.72	6,5
53686	10.51	-3.51	14,7
54149	19.53		14
54547	14.75	9.00	11,2
56131	4.07	1.61	11,15
56644			
56831		8.94	2
57175	5.50	8.59	8,21
58232	17.11	10.20	6,12
59519		7.58	2
60232	6.65	-1.00	7,8
61680	-1.88	4.14	30,10
61682	2.77	4.26	23,5
61945	13.60	3.99	6,11
62111	15.48	8.43	6,21
62615	6.49	-3.84	14,12
