INDEX,SMILES,ID,STATE_50,VAL,logD
0,c1nc2c(nc(nc2n1[C@@H]3C[C@@H](C=C3)CO)N)NC4CC4,136470-78-5,neutral,13.0,0.39
1,CN(C)Cc1c2ccccc2oc1C(=O)NCCOc3ccc(cc3)C(=O)NO,783355-60-2,basic,14.2,0.41
2,CCCC(=O)Nc1ccc(c(c1)C(=O)C)OCC(CNC(C)C)O,37517-30-9,basic,10.0,-0.6
3,CC(=O)C[C@H](c1ccc(cc1)[N+](=O)[O-])c2c(c3ccccc3oc2=O)O,152-72-7,acidic,1.28,0.49
4,CC(=O)Nc1ccc(cc1)O,103-90-2,neutral,5.0,0.9
5,CC[C@@H](C(C[C@H](C)N(C)C)(c1ccccc1)c2ccccc2)OC(=O)C,1477-40-3,basic,5.4,2.45
6,CC(=O)Oc1ccccc1C(=O)O,50-78-2,acidic,12.0,-2.16
7,C1[C@H](ON=C1Cl)[C@@H](C(=O)O)N,42228-92-2,zwitterionic,0.69,-2.7
8,c1ccc(cc1)OCCC[N+]23CCC(CC2)[C@H](C3)OC(=O)C(c4cccs4)(c5cccs5)O,320345-99-1,neutral,48.5,0.46
9,CN(C)Cc1nnc2n1-c3ccc(cc3C(=NC2)c4ccccc4)Cl,37115-32-5,neutral,6.2,2.84
10,CCC(=O)N(c1ccccc1)C2(CCN(CC2)CCn3c(=O)n(nn3)CC)COC,71195-58-9,basic,3.9,2.45
11,CN(CCCNC(=O)C1CCCO1)c2nc3cc(c(cc3c(n2)N)OC)OC,81403-80-7,neutral,5.9,0.94
12,c1c2c([nH]n1)nc[nH]c2=O,315-30-0,neutral,11.0,-0.9
13,CNC(=O)C(c1ccccc1)N2CCc3cc(c(cc3[C@@H]2CCc4ccc(cc4)C(F)(F)F)OC)OC,871224-64-5,neutral,10.2,5.64
14,Cc1c(nc[nH]1)CN2CCc3c(c4ccccc4n3C)C2=O,122852-42-0,neutral,8.7,1.12
15,Cc1nnc2n1-c3ccc(cc3C(=NC2)c4ccccc4)Cl,28981-97-7,neutral,0.74,3.02
16,CC(C)NCC(COc1ccccc1CC=C)O,13655-52-2,basic,15.0,0.47
17,CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O,745-65-3,acidic,45.4,0.66
18,COc1cc(cn[n+]1c2ccccc2)N,41658-78-0,neutral,5.1,-1.82
19,C(CN)CNCCSP(=O)(O)O,20537-88-6,zwitterionic,30.65,-3.78
20,C(CC(=O)O)C(=O)CN,106-60-5,zwitterionic,1.88,-3.37
21,c1cc(c(cc1N)C(=O)O)O,89-57-6,acidic,9.3,-1.72
22,CCCCc1c(c2ccccc2o1)C(=O)c3cc(c(c(c3)I)OCCN(CC)CC)I,1951-25-3,basic,1.9,6.53
23,CN(C)CCC=C1c2ccccc2CCc3c1cccc3,50-48-6,basic,6.1,2.48
24,CCOC(=O)C1=C(NC(=C(C1c2ccccc2Cl)C(=O)OC)C)COCCN,88150-42-9,basic,7.0,-0.37
25,CN(C)CCN1C(=O)c2cccc3c2c(cc(c3)N)C1=O,69408-81-7,basic,7.33,-0.05
26,C[C@@H](Cc1ccccc1)N,51-64-9,basic,9.7,-0.67
27,c1cnccc1c2cc(c(=O)[nH]c2)N,60719-84-8,neutral,8.9,-0.57
28,COc1cc(ccc1Nc2c3ccccc3nc4c2cccc4)NS(=O)(=O)C,51264-14-3,basic,4.3,2.16
29,Cc1cccc2c1nc3c(c2Nc4ccc(cc4OC)NS(=O)(=O)C)cccc3C(=O)NC,80841-47-0,neutral,2.6,2.5
