INDEX,SMILES,ID,STATE_50,VAL,logD,MW,XLOGP,CLOGP,TPSA,HBD,HBA,LOGP_COLOR,MW_COLOR,LOGD_COLOR
0,c1nc2c(nc(nc2n1[C@@H]3C[C@@H](C=C3)CO)N)NC4CC4,136470-78-5,neutral,13.0,0.39,286.332,1.503,0.39,101.88,3,4,green,green,green
1,CN(C)Cc1c2ccccc2oc1C(=O)NCCOc3ccc(cc3)C(=O)NO,783355-60-2,basic,14.2,0.41,397.424,1.86,1.37,104.04,3,5,green,green,green
2,CCCC(=O)Nc1ccc(c(c1)C(=O)C)OCC(CNC(C)C)O,37517-30-9,basic,10.0,-0.6,336.426,2.027,1.53,87.66,3,4,green,green,green
3,CC(=O)C[C@H](c1ccc(cc1)[N+](=O)[O-])c2c(c3ccccc3oc2=O)O,152-72-7,acidic,1.28,0.49,353.325,3.585,2.68,110.65,1,6,green,green,green
4,CC(=O)Nc1ccc(cc1)O,103-90-2,neutral,5.0,0.9,151.163,0.814,0.91,49.33,2,2,green,green,green
5,CC[C@@H](C(C[C@H](C)N(C)C)(c1ccccc1)c2ccccc2)OC(=O)C,1477-40-3,basic,5.4,2.45,353.498,4.678,4.88,29.54,0,2,yellow,green,yellow
6,CC(=O)Oc1ccccc1C(=O)O,50-78-2,acidic,12.0,-2.16,180.157,1.407,1.24,63.6,0,4,green,green,green
7,C1[C@H](ON=C1Cl)[C@@H](C(=O)O)N,42228-92-2,zwitterionic,0.69,-2.7,178.574,-2.718,-2.81,84.91,1,4,green,green,green
8,c1ccc(cc1)OCCC[N+]23CCC(CC2)[C@H](C3)OC(=O)C(c4cccs4)(c5cccs5)O,320345-99-1,neutral,48.5,0.46,484.651,4.383,0.45,55.76,1,4,green,yellow,green
9,CN(C)Cc1nnc2n1-c3ccc(cc3C(=NC2)c4ccccc4)Cl,37115-32-5,neutral,6.2,2.84,351.833,2.293,2.24,46.31,0,3,green,green,yellow
10,CCC(=O)N(c1ccccc1)C2(CCN(CC2)CCn3c(=O)n(nn3)CC)COC,71195-58-9,basic,3.9,2.45,416.517,2.367,2.81,85.49,0,5,green,yellow,yellow
11,CN(CCCNC(=O)C1CCCO1)c2nc3cc(c(cc3c(n2)N)OC)OC,81403-80-7,neutral,5.9,0.94,389.449,1.616,1.19,111.83,2,6,green,green,green
12,c1c2c([nH]n1)nc[nH]c2=O,315-30-0,neutral,11.0,-0.9,136.111,-0.208,-0.88,74.43,2,3,green,green,green
13,CNC(=O)C(c1ccccc1)N2CCc3cc(c(cc3[C@@H]2CCc4ccc(cc4)C(F)(F)F)OC)OC,871224-64-5,neutral,10.2,5.64,512.563,5.738,5.87,50.8,1,3,red,red,red
14,Cc1c(nc[nH]1)CN2CCc3c(c4ccccc4n3C)C2=O,122852-42-0,neutral,8.7,1.12,294.351,1.667,1.21,53.92,1,2,green,green,green
15,Cc1nnc2n1-c3ccc(cc3C(=NC2)c4ccccc4)Cl,28981-97-7,neutral,0.74,3.02,308.765,2.513,2.37,43.07,0,3,green,green,yellow
16,CC(C)NCC(COc1ccccc1CC=C)O,13655-52-2,basic,15.0,0.47,249.349,2.437,2.69,41.49,2,2,green,green,green
17,CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O,745-65-3,acidic,45.4,0.66,354.481,3.258,3.59,94.83,2,5,yellow,green,green
18,COc1cc(cn[n+]1c2ccccc2)N,41658-78-0,neutral,5.1,-1.82,202.232,-0.276,-1.82,52.24,1,2,green,green,green
19,C(CN)CNCCSP(=O)(O)O,20537-88-6,zwitterionic,30.65,-3.78,214.223,-1.905,-3.77,95.58,4,3,green,green,green
20,C(CC(=O)O)C(=O)CN,106-60-5,zwitterionic,1.88,-3.37,131.13,-1.959,-3.68,80.39,1,3,green,green,green
21,c1cc(c(cc1N)C(=O)O)O,89-57-6,acidic,9.3,-1.72,153.135,0.659,-0.49,83.55,2,3,green,green,green
22,CCCCc1c(c2ccccc2o1)C(=O)c3cc(c(c(c3)I)OCCN(CC)CC)I,1951-25-3,basic,1.9,6.53,645.312,7.553,7.64,42.68,0,3,red,red,red
23,CN(C)CCC=C1c2ccccc2CCc3c1cccc3,50-48-6,basic,6.1,2.48,277.403,4.874,4.81,3.24,0,0,yellow,green,yellow
