INDEX,SMILES,ID,STATE_50,VAL,logD
0,C1CC1(C(=O)O)N,22059-21-8,zwitterionic,1.5,-2.72
1,CC(=O)NCCCS(=O)(=O)O,77337-76-9,acidic,3.75,-4.1
2,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)CO)O)O)N[C@H]3C=C([C@H]([C@@H]([C@H]3O)O)O)CO,56180-94-0,neutral,2.2,-8.41
3,CCN(CC)CCNC(=O)c1ccc(cc1)NC(=O)C,32795-44-1,basic,4.0,-0.63
4,CC(=O)Nc1nnc(s1)S(=O)(=O)N,59-66-5,acidic,0.65,-1.51
5,c1nc2c(=O)[nH]c(nc2n1COCCO)N,59277-89-3,neutral,4.7,-1.55
6,c1nc(c2c(n1)n(cn2)CCOCP(=O)(O)O)N,106941-25-7,acidic,3.7,-3.96
7,CC(C)(C)NCC(c1ccc(c(c1)CO)O)O,18559-94-9,basic,7.8,-1.32
8,C=CC[N@@+]12[C@@H]3[C@@]4([C@H]5N(c6c4cccc6)C=C7[C@@H]8N(c9c(cccc9)[C@]84[C@H]6[N@+](C/C(=C/CO)/[C@@H]7C6)(CC4)CC=C)C=C5[C@@H](C3)/C(=C\CO)/C1)CC2,23214-96-2,neutral,1.3,-4.27
9,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,66376-36-1,zwitterionic,2.6,-6.56
10,COc1cc2c(cc1C(=O)NCC3CCCN3CC=C)[nH]nn2,59338-93-1,basic,6.6,0.76
11,CN(C)CCc1c[nH]c2c1cc(cc2)CS(=O)(=O)N3CCCC3,154323-57-6,basic,8.9,-0.61
12,CNS(=O)(=O)c1cc(c(cc1N)OC)C(=O)NC[C@@H]2CCC[N@@]2CC=C,81982-32-3,basic,5.47,-0.48
13,C1C2CC3CC1CC(C2)(C3)N,768-94-5,basic,4.8,-1.38
14,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)/N=C/N3CCCCCC3)C(=O)O)C,32887-01-7,zwitterionic,6.3,-0.66
15,CNn1cc(c(=O)c2c1cc(c(c2)F)N3CCN(CC3)C)C(=O)O,86393-37-5,acidic,4.56,-0.65
16,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@H](CCN)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)O)N,37517-28-5,basic,1.1,-15.1
17,C(CCC(=O)O)CCN,60-32-2,zwitterionic,2.5,-2.0
18,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccc(cc3)O)N)C(=O)O)C,26787-78-0,zwitterionic,3.3,-2.57
19,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccccc3)N)C(=O)O)C,69-53-4,zwitterionic,2.8,-2.26
20,C[C@H]1COc2c3n1cc(c(=O)c3c(c(c2N4CCN(CC4)C)F)N)C(=O)O,119354-43-7,acidic,2.2,-0.37
21,CC(C)NCC(COc1ccc(cc1)CC(=O)N)O,29122-68-7,basic,2.5,-1.8
22,CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3,51-55-8,basic,7.6,-0.41
23,CCCC1C(=O)N2c3cc(ccc3N=C(N2C1=O)N(C)C)C,13539-59-8,zwitterionic,0.14,2.16
24,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccccc3)NC(=O)N4CCNC4=O)C(=O)O)C,37091-66-0,acidic,2.5,-3.7
25,C[C@H]1[C@@H](C(=O)N1S(=O)(=O)O)NC(=O)/C(=N\OC(C)(C)C(=O)O)/c2csc(n2)N,78110-38-0,acidic,1.5,-6.12
26,c1ccc(cc1)C(=O)NCCC(=O)O,3440-28-6,acidic,9.2,-2.33
27,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1SC3Cn4cnc[n+]4C3)C(=O)[O-])[C@@H](C)O,120410-24-4,acidic,2.5,-5.44
28,CC(C)N(CC[C@](CCN1CCCCC1)(c2ccccc2Cl)C(=O)N)C(=O)C,103810-45-3,basic,5.43,1.31
29,CC(C)(C)C1(CC2C3(C14C(C(=O)OC4OC3=O)O)CC(=O)O2)O,33570-04-6,neutral,10.0,-0.28
30,CC(C)NCC(COc1ccc(cc1)COCCOC(C)C)O,66722-44-9,basic,3.7,-0.03
31,Cc1c(nc(nc1N)[C@H](CC(=O)N)NC[C@@H](C(=O)N)N)C(=O)N[C@@H]([C@H](c2c[nH]cn2)O[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)O[C@@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)CO)O)OC(=O)N)O)C(=O)N[C@H](C)[C@H]([C@H](C)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCCc5nc(cs5)c6nc(cs6)C(=O)NCCC[S+](C)C)O,11056-06-7,basic,1.26,-8.51
32,CC1([C@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccccc3)NC(=O)NC(=N)N)C(=O)O)C,28889-87-4,acidic,1.6,-2.52
33,CCCCNc1cc(cc(c1Oc2ccccc2)S(=O)(=O)N)C(=O)O,28395-03-1,acidic,2.5,-0.13
34,CCCC[S@](=N)(=O)CC[C@@H](C(=O)O)N,5072-26-4,acidic,2.28,-2.98
35,C[C@H]1CN(CCN1)c2c(cc3c(c2OC(F)F)n(cc(c3=O)C(=O)O)C4CC4)F,153808-85-6,zwitterionic,2.7,0.37
36,CCOc1nc2cccc(c2n1Cc3ccc(cc3)c4ccccc4c5[nH]nnn5)C(=O)O,139481-59-7,acidic,0.37,-0.3
37,COCOC[C@H](CCC1(CCCC1)C(=O)NC2CCC(CC2)C(=O)O)C(=O)O,123122-54-3,acidic,2.3,-3.47
38,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,62571-86-2,acidic,12.0,-2.42
39,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C(c3ccccc3)C(=O)O)C(=O)O)C,4697-36-3,acidic,1.9,-5.91
40,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,406-76-8,acidic,1.6,-4.12
41,CC(C)(C)NC[C@H](COc1cccc2c1CCC(=O)N2)O,781-06-7,basic,10.1,-0.89
42,c1c(nc(s1)N)/C(=N/OCC(=O)O)/C(=O)N[C@H]2[C@H](N(C2=O)S(=O)(=O)O)COC(=O)N,87638-04-8,acidic,1.5,-8.09
43,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](c3ccc(cc3)O)N)SC1)C(=O)O,50370-12-2,zwitterionic,2.5,-2.7
44,Cn1c(nnn1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)[C@@H](c4ccccc4)O)SC2)C(=O)O,34444-01-4,acidic,3.6,-3.39
45,c1cc(ccc1[C@H](C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)CSc4c[nH]nn4)C(=O)O)N)O,51627-14-6,acidic,3.3,-2.46
