INDEX,SMILES,ID,STATE_50,VAL,logD,MW,XLOGP,CLOGP,TPSA,HBD,HBA,LOGP_COLOR,MW_COLOR,LOGD_COLOR
0,C1CC1(C(=O)O)N,22059-21-8,zwitterionic,1.5,-2.72,101.104,-1.593,-2.85,63.32,1,2,green,green,green
1,CC(=O)NCCCS(=O)(=O)O,77337-76-9,acidic,3.75,-4.1,181.21,-0.715,-2.83,83.47,2,4,green,green,green
2,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)CO)O)O)N[C@H]3C=C([C@H]([C@@H]([C@H]3O)O)O)CO,56180-94-0,neutral,2.2,-8.41,645.605,-3.696,-8.25,329.01,14,18,green,red,green
3,CCN(CC)CCNC(=O)c1ccc(cc1)NC(=O)C,32795-44-1,basic,4.0,-0.63,277.362,1.695,1.02,61.44,2,2,green,green,green
4,CC(=O)Nc1nnc(s1)S(=O)(=O)N,59-66-5,acidic,0.65,-1.51,222.245,-1.03,-1.04,115.04,2,5,green,green,green
5,c1nc2c(=O)[nH]c(nc2n1COCCO)N,59277-89-3,neutral,4.7,-1.55,225.205,-1.47,-1.55,119.05,3,5,green,green,green
6,c1nc(c2c(n1)n(cn2)CCOCP(=O)(O)O)N,106941-25-7,acidic,3.7,-3.96,273.186,-0.903,-4.37,136.38,3,7,green,green,green
7,CC(C)(C)NCC(c1ccc(c(c1)CO)O)O,18559-94-9,basic,7.8,-1.32,239.311,0.939,0.32,72.72,4,3,green,green,green
8,C=CC[N@@+]12[C@@H]3[C@@]4([C@H]5N(c6c4cccc6)C=C7[C@@H]8N(c9c(cccc9)[C@]84[C@H]6[N@+](C/C(=C/CO)/[C@@H]7C6)(CC4)CC=C)C=C5[C@@H](C3)/C(=C\CO)/C1)CC2,23214-96-2,neutral,1.3,-4.27,666.893,2.504,-4.27,46.94,2,2,green,red,green
9,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,66376-36-1,zwitterionic,2.6,-6.56,249.096,-2.969,-4.1,161.31,6,7,green,green,green
10,COc1cc2c(cc1C(=O)NCC3CCCN3CC=C)[nH]nn2,59338-93-1,basic,6.6,0.76,315.37,2.09,0.9,83.14,2,4,green,green,green
11,CN(C)CCc1c[nH]c2c1cc(cc2)CS(=O)(=O)N3CCCC3,154323-57-6,basic,8.9,-0.61,335.464,2.401,1.52,56.41,1,2,green,green,green
12,CNS(=O)(=O)c1cc(c(cc1N)OC)C(=O)NC[C@@H]2CCC[N@@]2CC=C,81982-32-3,basic,5.47,-0.48,382.478,0.756,0.11,113.76,3,4,green,green,green
13,C1C2CC3CC1CC(C2)(C3)N,768-94-5,basic,4.8,-1.38,151.249,1.378,1.47,26.02,1,0,green,green,green
14,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)/N=C/N3CCCCCC3)C(=O)O)C,32887-01-7,zwitterionic,6.3,-0.66,325.426,2.437,-0.99,73.21,0,4,green,green,green
15,CNn1cc(c(=O)c2c1cc(c(c2)F)N3CCN(CC3)C)C(=O)O,86393-37-5,acidic,4.56,-0.65,334.345,-0.024,-0.0,77.81,1,3,green,green,green
16,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@H](CCN)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)O)N,37517-28-5,basic,1.1,-15.1,585.603,-6.586,-8.58,331.94,13,13,green,red,green
17,C(CCC(=O)O)CCN,60-32-2,zwitterionic,2.5,-2.0,131.173,-0.73,-2.76,63.32,1,2,green,green,green
18,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccc(cc3)O)N)C(=O)O)C,26787-78-0,zwitterionic,3.3,-2.57,365.404,0.645,-3.8,132.96,3,5,green,green,green
19,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccccc3)N)C(=O)O)C,69-53-4,zwitterionic,2.8,-2.26,349.405,0.9,-3.5,112.73,2,4,green,green,green
20,C[C@H]1COc2c3n1cc(c(=O)c3c(c(c2N4CCN(CC4)C)F)N)C(=O)O,119354-43-7,acidic,2.2,-0.37,376.382,-1.124,0.51,101.03,1,4,green,green,green
21,CC(C)NCC(COc1ccc(cc1)CC(=O)N)O,29122-68-7,basic,2.5,-1.8,266.336,0.775,0.43,84.58,3,3,green,green,green
22,CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3,51-55-8,basic,7.6,-0.41,289.369,2.148,1.57,49.77,1,3,green,green,green
23,CCCC1C(=O)N2c3cc(ccc3N=C(N2C1=O)N(C)C)C,13539-59-8,zwitterionic,0.14,2.16,300.356,1.561,2.12,56.22,0,3,green,green,yellow
24,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccccc3)NC(=O)N4CCNC4=O)C(=O)O)C,37091-66-0,acidic,2.5,-3.7,461.492,2.131,-0.33,148.15,3,6,green,yellow,green
25,C[C@H]1[C@@H](C(=O)N1S(=O)(=O)O)NC(=O)/C(=N\OC(C)(C)C(=O)O)/c2csc(n2)N,78110-38-0,acidic,1.5,-6.12,435.433,-0.383,-4.15,201.58,3,10,green,yellow,green
26,c1ccc(cc1)C(=O)NCCC(=O)O,3440-28-6,acidic,9.2,-2.33,193.199,0.413,0.76,66.4,1,3,green,green,green
27,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1SC3Cn4cnc[n+]4C3)C(=O)[O-])[C@@H](C)O,120410-24-4,acidic,2.5,-5.44,350.393,-1.665,-6.06,102.37,1,5,green,green,green
28,CC(C)N(CC[C@](CCN1CCCCC1)(c2ccccc2Cl)C(=O)N)C(=O)C,103810-45-3,basic,5.43,1.31,407.977,3.18,2.79,66.64,1,2,green,yellow,green
29,CC(C)(C)C1(CC2C3(C14C(C(=O)OC4OC3=O)O)CC(=O)O2)O,33570-04-6,neutral,10.0,-0.28,326.299,-3.32,-0.52,119.36,2,8,green,green,green
30,CC(C)NCC(COc1ccc(cc1)COCCOC(C)C)O,66722-44-9,basic,3.7,-0.03,325.443,2.23,2.2,59.95,2,4,green,green,green
31,Cc1c(nc(nc1N)[C@H](CC(=O)N)NC[C@@H](C(=O)N)N)C(=O)N[C@@H]([C@H](c2c[nH]cn2)O[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)O[C@@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)CO)O)OC(=O)N)O)C(=O)N[C@H](C)[C@H]([C@H](C)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCCc5nc(cs5)c6nc(cs6)C(=O)NCCC[S+](C)C)O,11056-06-7,basic,1.26,-8.51,1415.552,-3.105,-9.31,627.07,20,26,green,red,green
32,CC1([C@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccccc3)NC(=O)NC(=N)N)C(=O)O)C,28889-87-4,acidic,1.6,-2.52,434.469,0.844,-4.11,177.71,5,5,green,yellow,green
33,CCCCNc1cc(cc(c1Oc2ccccc2)S(=O)(=O)N)C(=O)O,28395-03-1,acidic,2.5,-0.13,364.416,3.028,2.42,118.72,2,5,green,green,green
34,CCCC[S@](=N)(=O)CC[C@@H](C(=O)O)N,5072-26-4,acidic,2.28,-2.98,222.305,-2.922,-3.11,104.24,2,3,green,green,green
35,C[C@H]1CN(CCN1)c2c(cc3c(c2OC(F)F)n(cc(c3=O)C(=O)O)C4CC4)F,153808-85-6,zwitterionic,2.7,0.37,411.375,1.114,-0.21,83.8,1,4,green,yellow,green
36,CCOc1nc2cccc(c2n1Cc3ccc(cc3)c4ccccc4c5[nH]nnn5)C(=O)O,139481-59-7,acidic,0.37,-0.3,440.454,5.023,4.41,118.81,1,7,yellow,yellow,green
37,COCOC[C@H](CCC1(CCCC1)C(=O)NC2CCC(CC2)C(=O)O)C(=O)O,123122-54-3,acidic,2.3,-3.47,399.479,1.182,2.42,122.16,1,7,green,green,green
38,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,62571-86-2,acidic,12.0,-2.42,217.285,-0.163,0.73,57.61,0,3,green,green,green
39,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C(c3ccccc3)C(=O)O)C(=O)O)C,4697-36-3,acidic,1.9,-5.91,378.4,1.614,0.82,124.01,1,6,green,green,green
40,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,406-76-8,acidic,1.6,-4.12,161.199,-3.071,-4.89,60.36,1,3,green,green,green
41,CC(C)(C)NC[C@H](COc1cccc2c1CCC(=O)N2)O,781-06-7,basic,10.1,-0.89,292.373,1.734,1.42,70.59,3,3,green,green,green
42,c1c(nc(s1)N)/C(=N/OCC(=O)O)/C(=O)N[C@H]2[C@H](N(C2=O)S(=O)(=O)O)COC(=O)N,87638-04-8,acidic,1.5,-8.09,466.404,-1.946,-5.85,253.9,4,12,green,yellow,green
43,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](c3ccc(cc3)O)N)SC1)C(=O)O,50370-12-2,zwitterionic,2.5,-2.7,363.388,-0.252,-3.84,132.96,3,5,green,green,green
