ID,SEL_100,SEL_5000,logD,ACIDIC,BASIC,STATE_10,STATE_50,STATE_90
5985,0.23,0.62,0.72,11.71,9.47,basic,basic,basic
1312369,0.17,0.71,4.47,9.56,0.87,neutral,neutral,neutral
1324929,0.11,0.67,4.93,9.56,0.87,neutral,neutral,neutral
1303035,0.03,0.16,4.52,10.77,4.06,neutral,neutral,neutral
1328006,0.16,0.43,5.68,10.67,2.75,neutral,neutral,neutral
422253,0.73,0.8,-0.92,7.02,-1.74,acidic,acidic,neutral
1311773,0.02,0.21,0.92,8.98,4.55,neutral,neutral,neutral
1319544,0.0,0.12,2.13,,6.85,basic,neutral,neutral
27612,0.52,0.67,2.86,17.34,7.16,basic,neutral,neutral
514549,0.02,0.17,5.65,12.61,2.32,neutral,neutral,neutral
122937,0.0,0.21,-4.38,13.18,8.88,basic,basic,basic
122938,0.0,0.24,-4.2,13.32,9.36,basic,basic,basic
421066,0.79,0.83,5.21,4.29,4.08,acidic,acidic,acidic
1075763,0.0,0.59,1.02,13.31,4.05,neutral,neutral,neutral
99755,0.05,0.4,4.11,12.47,-3.07,neutral,neutral,neutral
14805,0.08,0.17,4.43,15.99,7.2,basic,neutral,neutral
1363930,0.0,0.0,-11.87,2.24,-3.5,acidic,acidic,acidic
11220,0.0,0.15,0.73,11.8,6.43,basic,neutral,neutral
220184,0.06,0.19,2.67,11.9,3.34,neutral,neutral,neutral
1321645,0.04,0.31,3.45,9.74,3.74,neutral,neutral,neutral
78197,0.0,0.15,1.35,7.84,-6.94,acidic,neutral,neutral
363083,0.04,0.21,1.22,12.26,9.26,basic,basic,basic
363089,0.06,0.15,0.57,1.47,9.5,zwiterionic,zwiterionic,zwiterionic
175857,0.06,0.67,-4.28,,12.16,basic,basic,basic
430664,0.03,0.08,2.82,17.34,7.16,basic,neutral,neutral
682655,0.0,0.11,7.12,,-4.22,neutral,neutral,neutral
1324815,0.03,0.24,1.36,8.94,1.52,neutral,neutral,neutral
150743,0.02,0.02,0.31,13.66,3.82,neutral,neutral,neutral
66311,0.1,0.78,4.84,,8.4,basic,basic,basic
1326922,0.2,0.49,3.92,10.4,4.14,neutral,neutral,neutral
1248989,0.52,1.0,1.62,4.01,-2.93,acidic,acidic,acidic
1325646,0.03,0.08,0.37,10.22,-0.51,neutral,neutral,neutral
1304684,0.02,0.23,4.23,11.28,1.2,neutral,neutral,neutral
1072399,0.01,0.19,2.5,13.06,1.39,neutral,neutral,neutral
1072397,0.05,0.28,3.19,13.06,1.21,neutral,neutral,neutral
48701,0.04,0.53,-4.7,1.05,1.76,acidic,acidic,acidic
1287378,0.0,0.12,-1.41,,10.26,basic,basic,basic
1315195,0.08,0.62,3.49,10.72,5.3,neutral,neutral,neutral
