ID,SEL_100,VAL,logD,ACIDIC,BASIC,STATE_10,STATE_50,STATE_90,MW,XLOGP,CLOGP,TPSA,HBD,HBA,LOGP_COLOR,MW_COLOR,LOGD_COLOR
5985,0.23,0.62,0.72,11.71,9.47,basic,basic,basic,586.678,3.586,2.78,114.2,1,7,green,red,green
1312369,0.17,0.71,4.47,9.56,0.87,neutral,neutral,neutral,454.481,4.14,4.47,106.95,2,6,yellow,yellow,red
1324929,0.11,0.67,4.93,9.56,0.87,neutral,neutral,neutral,412.419,4.324,4.93,88.49,2,4,yellow,yellow,red
1303035,0.03,0.16,4.52,10.77,4.06,neutral,neutral,neutral,366.725,3.926,4.52,66.91,2,3,yellow,green,red
1328006,0.16,0.43,5.68,10.67,2.75,neutral,neutral,neutral,607.633,5.417,5.15,104.52,2,5,red,red,red
422253,0.73,0.8,-0.92,7.02,-1.74,acidic,acidic,neutral,444.416,-0.343,-0.39,152.24,3,8,green,yellow,green
1311773,0.02,0.21,0.92,8.98,4.55,neutral,neutral,neutral,238.245,1.149,0.92,84.66,2,3,green,green,green
1319544,0.0,0.12,2.13,,6.85,basic,neutral,neutral,186.253,2.43,2.24,29.26,1,0,green,green,yellow
27612,0.52,0.67,2.86,17.34,7.16,basic,neutral,neutral,440.492,2.763,3.05,123.97,2,7,yellow,yellow,yellow
514549,0.02,0.17,5.65,12.61,2.32,neutral,neutral,neutral,457.567,5.305,5.0,91.02,1,4,yellow,yellow,red
122937,0.0,0.21,-4.38,13.18,8.88,basic,basic,basic,163.172,-1.546,-2.89,92.95,5,4,green,green,green
122938,0.0,0.24,-4.2,13.32,9.36,basic,basic,basic,133.146,-1.417,-2.26,72.72,4,3,green,green,green
421066,0.79,0.83,5.21,4.29,4.08,acidic,acidic,acidic,428.529,4.271,5.5,87.13,1,5,red,yellow,red
1075763,0.0,0.59,1.02,13.31,4.05,neutral,neutral,neutral,226.237,1.255,1.02,106.5,3,3,green,green,green
99755,0.05,0.4,4.11,12.47,-3.07,neutral,neutral,neutral,475.621,4.696,4.11,113.6,3,5,yellow,yellow,red
14805,0.08,0.17,4.43,15.99,7.2,basic,neutral,neutral,581.058,5.754,4.64,106.35,2,6,yellow,red,red
1363930,0.0,0.0,-11.87,2.24,-3.5,acidic,acidic,acidic,907.88,-18.586,-4.57,568.26,14,17,green,red,green
11220,0.0,0.15,0.73,11.8,6.43,basic,neutral,neutral,240.261,1.266,0.32,58.76,1,3,green,green,green
220184,0.06,0.19,2.67,11.9,3.34,neutral,neutral,neutral,328.163,2.739,2.67,57.78,2,2,green,green,yellow
1321645,0.04,0.31,3.45,9.74,3.74,neutral,neutral,neutral,326.37,3.08,3.45,70.92,2,4,yellow,green,yellow
78197,0.0,0.15,1.35,7.84,-6.94,acidic,neutral,neutral,162.142,1.388,1.48,50.44,1,3,green,green,green
363083,0.04,0.21,1.22,12.26,9.26,basic,basic,basic,507.56,3.227,3.08,128.29,4,6,yellow,red,green
363089,0.06,0.15,0.57,1.47,9.5,zwiterionic,zwiterionic,zwiterionic,587.54,2.823,1.1,174.82,5,9,green,red,green
175857,0.06,0.67,-4.28,,12.16,basic,basic,basic,177.246,0.183,0.17,61.9,3,0,green,green,green
430664,0.03,0.08,2.82,17.34,7.16,basic,neutral,neutral,366.414,2.743,3.01,105.51,2,5,yellow,green,yellow
682655,0.0,0.11,7.12,,-4.22,neutral,neutral,neutral,687.698,7.378,7.12,18.04,0,1,red,red,red
1324815,0.03,0.24,1.36,8.94,1.52,neutral,neutral,neutral,286.283,1.549,1.37,77.52,1,5,green,green,green
