Unnamed: 0,ID,VAL,UNITS,CHG_STATE,logD,ACIDIC,BASIC,STATE_10,STATE_50,STATE_90,MW,XLOGP,CLOGP,TPSA,HBD,HBA,LOGP_COLOR,MW_COLOR,LOGD_COLOR
0,27307,7.1,%,neutral,-0.41,9.96,-2.98,neutral,neutral,neutral,267.241,0.427,-0.3,133.08,2,7,green,green,green
1,447087,-9.0,%,basic,2.79,,9.68,basic,basic,basic,454.602,4.689,5.04,63.95,0,5,red,yellow,yellow
2,394165,-3.2,%,acidic,0.94,5.56,-6.9,acidic,acidic,acidic,308.328,3.534,2.74,67.51,1,4,green,green,green
3,330452,0.8,%,basic,-1.27,,9.73,basic,basic,basic,211.262,1.547,1.01,37.81,1,2,green,green,green
4,297372,6.6,%,basic,-0.49,10.16,7.48,basic,basic,neutral,324.336,-1.449,-0.46,151.14,3,6,green,green,green
5,1216,18.8,%,neutral,1.1,17.33,7.16,basic,neutral,neutral,290.318,0.935,1.28,105.51,2,5,green,green,green
6,27419,18.7,%,neutral,3.63,18.08,4.32,neutral,neutral,neutral,343.21,3.125,2.89,43.07,0,3,green,green,yellow
7,193460,-9.3,%,basic,-0.82,,9.62,basic,basic,basic,133.19,1.015,1.34,26.02,1,0,green,green,green
8,7501,17.3,%,basic,-0.96,8.0,9.83,basic,basic,basic,421.446,1.64,-0.55,104.89,2,6,green,yellow,green
9,46726,5.8,%,acidic,1.36,4.33,,acidic,acidic,acidic,270.348,2.106,2.3,75.27,2,3,green,green,green
10,60319,0.2,%,neutral,3.94,,7.31,basic,neutral,neutral,263.786,3.911,4.2,3.24,0,0,yellow,green,yellow
11,28310,0.6,%,neutral,-1.03,,-0.3,neutral,neutral,neutral,189.218,1.583,-1.03,9.03,0,0,green,green,green
12,5970,25.2,%,basic,3.93,,8.93,basic,basic,basic,370.575,5.928,5.47,6.48,0,0,red,green,yellow
13,381693,2.5,%,neutral,-0.89,7.82,-0.78,acidic,neutral,neutral,180.164,-0.527,-0.77,72.68,1,3,green,green,green
14,5467,4.9,%,neutral,-2.54,,,neutral,neutral,neutral,130.251,1.192,-2.54,0.0,0,0,green,green,green
15,364520,37.4,%,neutral,3.37,19.09,-0.88,neutral,neutral,neutral,288.424,2.861,3.37,37.3,1,2,yellow,green,yellow
16,19569,33.3,%,basic,4.85,13.2,9.02,basic,basic,basic,471.673,6.567,6.48,43.7,2,2,red,yellow,red
17,6012,33.6,%,acidic,-3.55,1.35,5.12,acidic,acidic,acidic,287.212,-0.261,-3.96,136.38,3,7,green,green,green
