,ID,VAL,UNITS,CHG_STATE,logD,ACIDIC,BASIC,STATE_10,STATE_50,STATE_90
0,27307,4.7,%,neutral,-0.41,9.96,-2.98,neutral,neutral,neutral
1,447087,-62.6,%,basic,2.79,,9.68,basic,basic,basic
2,394165,31.6,%,acidic,0.94,5.56,-6.9,acidic,acidic,acidic
3,330452,27.3,%,basic,-1.27,,9.73,basic,basic,basic
4,297372,-7.3,%,basic,-0.49,10.16,7.48,basic,basic,neutral
5,1216,35.1,%,neutral,1.1,17.33,7.16,basic,neutral,neutral
6,27419,-20.5,%,neutral,3.63,18.08,4.32,neutral,neutral,neutral
7,193460,15.5,%,basic,-0.82,,9.62,basic,basic,basic
8,7501,-39.2,%,basic,-0.96,8.0,9.83,basic,basic,basic
9,46726,15.5,%,acidic,1.36,4.33,,acidic,acidic,acidic
10,60319,23.0,%,neutral,3.94,,7.31,basic,neutral,neutral
11,28310,16.2,%,neutral,-1.03,,-0.3,neutral,neutral,neutral
12,5970,21.5,%,basic,3.93,,8.93,basic,basic,basic
13,381693,-25.5,%,neutral,-0.89,7.82,-0.78,acidic,neutral,neutral
14,5467,6.7,%,neutral,-2.54,,,neutral,neutral,neutral
15,364520,-175.1,%,neutral,3.37,19.09,-0.88,neutral,neutral,neutral
16,19569,3.7,%,basic,4.85,13.2,9.02,basic,basic,basic
17,6012,23.3,%,acidic,-3.55,1.35,5.12,acidic,acidic,acidic
18,6968,11.0,%,basic,4.97,,8.76,basic,basic,basic
19,153330,17.1,%,acidic,1.32,6.9,2.43,acidic,acidic,neutral
20,5528,19.0,%,basic,-2.12,10.07,9.43,basic,basic,basic
21,410802,45.9,%,neutral,1.33,8.98,5.99,neutral,neutral,neutral
22,11164,15.0,%,neutral,-0.94,,-4.47,neutral,neutral,neutral
23,341382,41.6,%,neutral,2.63,13.6,7.17,basic,neutral,neutral
24,27150,-10.0,%,basic,0.86,13.89,9.05,basic,basic,basic
25,1370,10.1,%,basic,0.36,14.09,9.67,basic,basic,basic
26,27341,17.8,%,basic,-0.7,15.75,9.04,basic,basic,basic
27,77474,26.4,%,acidic,-0.92,3.53,,acidic,acidic,acidic
28,27370,27.6,%,neutral,1.27,12.58,-2.85,neutral,neutral,neutral
29,97,1.0,%,neutral,1.43,,7.24,basic,neutral,neutral
30,19737,-9.9,%,acidic,2.74,5.96,5.36,acidic,acidic,acidic
31,8543,-10.8,%,basic,-0.53,14.09,9.67,basic,basic,basic
32,270645,10.8,%,basic,0.24,14.44,10.46,basic,basic,basic
33,921,11.1,%,neutral,2.14,9.47,-9.05,neutral,neutral,neutral
34,251346,-32.0,%,neutral,3.08,,-3.14,neutral,neutral,neutral
35,12417,15.1,%,acidic,2.26,7.03,-1.0,acidic,acidic,neutral
36,2217,11.0,%,neutral,1.33,8.14,,neutral,neutral,neutral
37,282509,16.7,%,basic,-3.73,,11.97,basic,basic,basic
38,16498,-0.1,%,neutral,1.41,14.98,-4.24,neutral,neutral,neutral
39,465305,24.1,%,neutral,-5.2,10.01,-3.14,neutral,neutral,neutral
40,1615,7.6,%,acidic,-2.29,3.53,-2.76,acidic,acidic,acidic
41,6643,37.5,%,basic,0.83,,9.77,basic,basic,basic
42,419598,17.3,%,neutral,2.17,9.15,3.55,neutral,neutral,neutral
43,4011,27.4,%,acidic,-3.6,2.7,4.24,acidic,acidic,acidic
44,3183,-8.7,%,neutral,2.11,15.39,7.34,basic,neutral,neutral
45,419601,11.3,%,neutral,2.43,9.29,4.77,neutral,neutral,neutral
46,146,18.4,%,acidic,-0.28,5.45,6.2,zwitterionic,acidic,acidic
47,485080,-72.2,%,neutral,3.7,18.91,-4.83,neutral,neutral,neutral
48,1362567,-10.3,%,neutral,-1.65,12.63,4.49,neutral,neutral,neutral
49,113974,12.8,%,neutral,-3.19,,,neutral,neutral,neutral
50,16592,23.1,%,acidic,-0.23,5.62,-2.77,acidic,acidic,acidic
51,115,-16.5,%,basic,-0.31,,8.86,basic,basic,basic
52,466122,47.1,%,neutral,-0.18,8.58,-3.61,neutral,neutral,neutral
53,5170,32.4,%,neutral,2.7,7.86,-4.95,acidic,neutral,neutral
54,139099,27.5,%,neutral,1.43,14.73,6.02,neutral,neutral,neutral
55,27611,22.7,%,neutral,3.92,,6.57,basic,neutral,neutral
56,789,30.5,%,basic,-0.47,14.09,9.67,basic,basic,basic
57,1063,-1.6,%,neutral,1.78,,-2.93,neutral,neutral,neutral
58,49931,-13.4,%,acidic,-6.56,3.26,1.8,acidic,acidic,acidic
59,369464,-4.5,%,basic,-5.62,,12.33,basic,basic,basic
60,66016,32.9,%,neutral,1.67,11.18,-8.14,neutral,neutral,neutral
61,110803,28.1,%,neutral,4.55,,4.33,neutral,neutral,neutral
62,62259,19.6,%,basic,2.77,13.96,9.41,basic,basic,basic
63,230659,19.2,%,zwitterionic,-3.18,3.17,10.21,zwitterionic,zwitterionic,zwitterionic
