ID	apKa1	bpKa1	atoms
27112	14.09	9.63	7,4
1151932	14.09	9.63	8,4
746559	14.09	9.63	8,4
238255	14.07	6.63	13,15
243521	13.85	8.79	1,22
372315	13.06	9.23	8,4
372316	13.06	9.23	8,4
1591031	13.85	8.79	1,24
1591032	13.85	8.79	1,24
1591033	13.85	8.79	1,24
1591034	13.85	8.79	1,24
372323	14.07	8.04	14,16
1591035	13.79	8.93	1,4
1591036	13.43	9.65	24,8
1591037	14.08	6.65	1,26
1591038	14.08	6.76	14,11
1591039	13.28	8.46	5,2
1591040	13.28	7.96	21,12
1591041	13.28	8.46	7,2
1591042	13.28	7.96	23,13
89331	13.28	7.96	23,13
89345	13.28	8.46	7,2
1591043	13.30	5.42	11,6
1591044	13.28	5.22	11,6
1591045	13.27	6.39	12,6
1591046	13.27	6.39	12,6
1591047	13.27	6.39	12,6
1591048	13.28	4.87	6,3
1591049	13.28	4.87	9,4
1591050	13.27	5.76	10,4
1591051	13.27	5.76	10,4
1591052		4.39	6
1591053		4.39	6
1591054		4.39	6
1591055		4.04	4
1591056		4.64	4
1591057		4.04	4
1591058		4.64	4
1591059		5.28	6
1591060		5.28	6
1591061		5.28	6
1591062		5.28	6
1591063	13.28	5.04	21,16
1591064	13.28	5.04	21,16
1591065		4.20	13
1591066		4.20	13
1591067	13.27	8.42	13,8
1591068	13.27	8.42	13,8
1591069	13.27	8.55	14,8
1591070	13.27	8.55	13,7
1591071	13.27	7.81	14,8
1591072	13.27	7.81	14,8
1591073	0.96	8.99	26,6
1591074	0.96	8.99	26,6
1591075	13.28	4.87	9,4
1591076	14.08	8.56	9,3
1591077	14.08	8.02	1,23
1591078	14.08	9.13	8,4
1591079	14.08	8.02	15,17
1591080	14.07	8.02	14,16
1591081	14.08	6.77	1,23
1591082	14.08	6.47	16,12
1591083	14.08	6.67	16,12
1591084	14.08	6.70	16,12
1591085	14.08	6.74	15,11
1591086	14.08	8.01	1,26
1591087	14.08	6.63	1,23
1591088	14.08	5.83	15,17
1591089	14.08	8.00	7,2
1591090	14.07	5.83	14,16
1591091	14.08	8.55	9,4
1591092	14.08	8.56	9,3
1591093	14.08	8.02	1,23
1591094	14.08	5.83	1,23
1591095	13.74	7.43	27,23
1591096	14.08	8.07	1,23
1591097	14.08	8.79	23,25
1591098	13.06	9.23	8,4
1591099	13.05	7.64	16,12
1591100	14.08	8.12	1,23
1591101	9.19	9.83	15,4
1591102	14.08	6.67	1,23
1591103	14.08	8.04	1,23
1591104	14.08	5.88	1,23
1591105	13.85	7.38	1,24
1591106	14.08	7.38	23,25
1591107	14.08	6.65	1,23
1591108	14.08	9.13	8,4
1591109	13.85	9.83	8,4
1591110	14.08	9.83	23,25
1591111	14.08	8.02	1,27
1591112	14.09	9.37	1,5
1591113	14.08	8.32	1,5
1591114	14.08	9.42	1,5
372358	16.34	8.47	3,21
372364	16.33	7.92	3,20
372365	16.34	9.03	3,22
372370	16.34	9.12	3,23
