ID	apKa1	bpKa1	atoms
644510	13.57	5.97	28,14
1960010		-1.75	24
644675		-3.65	3
644851	9.20	2.06	8,11
644890		7.11	22
644968	14.60	2.48	10,22
645063	12.92	-2.98	18,10
645164	13.87	7.00	33,18
6602688	15.87	8.80	12,2
645323	8.32	3.72	20,13
645448	14.94	-0.76	6,8
645569	9.88	2.79	8,10
5447101	8.74	1.29	15,16
645575	10.78	-2.76	10,17
5721248	14.90	4.67	13,14
645818	9.22	0.68	13,9
645911		1.90	4
645965	17.52	7.51	17,14
6398898	10.80	2.51	23,26
646118		0.91	21
646164	18.86	-5.36	16,18
646293	13.22	1.67	19,9
646345	16.07	-4.63	14,25
646352	18.69	3.93	14,27
646395	17.11	6.38	12,14
646427		5.25	27
646472		-2.78	26
646597	12.79	-3.99	5,4
6602690	6.33	8.51	11,2
646955		-1.68	12
6398903	9.67	5.16	15,18
647114	17.02	3.81	13,9
647166		2.54	18
647262	9.98	3.21	14,10
647302		7.50	5
647430	9.43	2.66	17,6
647585	8.23	3.89	14,21
647727	13.25	6.69	16,8
647748	12.76	0.11	9,20
6602522	15.33	5.90	16,10
647933	12.82	3.72	15,7
647996	13.90	-0.49	18,10
648007	10.12	-1.75	11,18
648068	9.31	5.02	23,20
648218	12.27	-4.21	12,19
648236	13.87	6.87	29,15
648407	10.34	1.05	8,15
648428	18.70	4.80	11,8
648481	13.03	7.62	4,15
6602523	16.59	3.94	12,9
648537	15.58	3.98	15,9
5769011	9.60	5.09	15,21
648672	13.51	2.85	10,11
648771	15.08	0.60	14,7
648878		3.66	3
649015	13.77	-4.20	10,9
649054		-2.09	12
649153	14.77	0.45	10,32
649165	14.40	-3.30	9,11
5768894	9.42	-1.71	20,22
649453	11.90	1.05	12,5
649650	10.23	-1.47	12,15
649754		8.61	9
649949	13.37	4.68	14,21
6398918	8.40	1.90	8,23
650023	14.32	5.12	16,5
650085	8.20	-2.00	12,25
650100		-3.02	27
6602529	13.47	7.21	24,20
650250	10.25	2.14	19,12
650341	13.95	-2.36	8,10
650434	10.54	3.26	10,6
650486	13.54	1.33	19,4
650558	14.51	2.43	15,7
6602999	15.37	5.16	15,18
650985		0.94	20
651025		8.03	4
651076	13.29	-1.79	12,19
651086		2.62	6
651189	5.31	-4.87	15,2
651205	5.40	-1.58	9,5
651207		-1.25	13
651217	8.20	-2.00	13,26
651338		-1.25	13
651433	4.04	-2.05	19,12
651603	13.43	3.62	11,10
651607	10.34	2.12	12,16
651769	13.95	-2.97	13,20
651959		7.17	21
652002		3.58	21
652325	8.05	3.97	9,17
652521	12.67	9.20	15,23
611711		-3.47	8
26880	11.23	-4.86	4,3
652700	12.44	-2.82	5,16
652954	12.16	4.99	18,21
6603138	15.95	8.79	16,7
2054625		2.23	9
653097	12.41	-1.37	18,13
5447087	8.74	1.31	14,15
653567	9.65	2.10	23,14
653646		0.12	16
5770102	7.96	1.43	16,25
653778	18.74	0.60	19,16
653799	11.26	0.34	17,4
5378674	5.00	4.04	14,2
653914	15.16	-2.12	6,24
654046	13.58	-3.93	18,14
654068		1.40	17
654182	6.51	-0.77	16,13
6398932	9.30	5.00	17,27
654244	18.74	1.03	10,13
654363	14.60	-2.99	23,4
654435	10.61	-0.50	14,16
5373216	7.76	-2.69	7,6
654546	8.95	5.51	17,19
655127	14.61	6.10	13,10
655183	14.03	5.19	12,14
655401	9.63	5.02	22,27
655439	10.21	0.02	11,8
586663	7.22	1.42	16,14
5769094		-3.01	9
655776		6.74	11
655785	13.56	-3.79	12,4
655857		4.08	12
655926	4.17	-1.41	24,27
655948		2.55	18
656017	12.68	-3.69	6,5
