ID	apKa1	bpKa1	atoms
85273730	18.85	6.86	15,13
85273684	11.45	4.16	8,12
85273682	13.33	7.10	5,24
85273681	8.55	7.81	11,22
85273665		2.22	13
85273661	8.42	6.80	6,2
85273654	13.07	7.62	8,12
85273652	14.86	-4.62	9,19
85273650	11.93	7.10	5,14
85273649	13.07	8.28	8,12
85273648	12.98	6.19	16,2
85273647	12.98	6.38	15,2
85273645		-2.50	16
85273642	12.09	5.54	4,19
85273639	11.86	7.45	11,10
85273635	10.82	-5.17	18,25
85273634	10.44	3.43	12,20
85273631	12.50	-4.14	21,18
85271830		-1.15	9
85271825	9.91	-4.86	11,19
85271824	19.48	-4.43	11,22
85271823	13.80	-4.77	14,13
85271819	13.54	-6.22	15,14
85271818	12.47	-4.04	8,27
85271813	18.42	-4.17	11,7
85271811	11.08	0.62	19,24
85271805	12.98	-1.66	11,10
85271804	10.04	3.49	11,13
85271801	18.77	-3.47	16,18
85271797	11.45	6.20	23,3
85271795		1.41	6
85271792	13.25	2.05	17,21
85271789	12.02	-4.04	11,26
85271787	14.66	-1.00	8,23
85271783	12.48	-2.97	17,29
85271779	14.00	-1.94	17,14
85271776	14.33	2.39	8,21
85271773	11.46	-2.90	11,35
85271772	13.33	-1.18	18,25
85271770		-1.46	11
85271767		-1.38	10
85271762	14.93	-0.76	14,16
85271761	8.79	-0.86	12,19
85271760	16.23	-0.97	1,21
85271759	8.74	-4.01	22,15
85271757	10.21	-5.38	14,13
85271753	19.47	-6.11	12,11
85271749	13.57	0.81	9,26
85271747		4.91	14
85271745	13.04	-4.91	18,2
85271744	9.08	-4.57	14,2
85271741	10.27	-2.87	13,20
85271738	9.44	-0.86	14,21
85271734	10.76	1.57	7,15
85271733	9.07	-3.97	13,16
85271728	12.91	1.33	27,13
85271727	7.60	-3.08	13,25
85271725	9.58	-1.52	12,32
85271722	13.85	-4.62	12,14
85271713	12.20	-1.59	6,15
85271707	9.11	-4.86	22,3
85271705	15.15	-1.25	16,25
85271703	12.55	-4.84	4,29
85271696	16.69	-4.83	13,25
85271695	9.93	-4.82	17,2
85271692	9.13	-6.73	9,15
85271690	11.03	-1.59	26,21
85271688	13.01	4.90	27,22
85271687	13.35	-2.50	23,10
85271685	11.65	1.60	11,4
85271681	11.49	-4.57	25,2
85271677	13.09	-4.01	15,2
85271673	14.99	-1.18	14,13
85271672	11.92	-2.86	19,9
85271671	10.65	-4.42	19,13
85271670	14.00	3.50	18,11
85271666	12.13	-1.70	11,20
85271663	16.69	-4.83	13,26
85271662	10.18	-7.83	16,19
85271658	12.06	-6.55	19,18
85271657	16.70	-4.84	13,26
85271655	9.20	5.54	10,21
85271652	14.76	-1.15	25,27
85271648	18.40	-2.53	14,10
85271647	11.30	5.16	20,23
85271639	10.26	-1.78	26,19
85271638	12.20	-6.81	20,15
85271637	9.67	3.51	13,17
85271635	11.63	2.07	11,17
85271633	13.75	-5.32	15,17
85271631	10.57	-3.57	9,12
85271629	15.10	8.24	19,28
85271625	7.90	-1.38	16,3
85271623	18.76	2.70	12,23
85271616	11.49	-4.91	21,11
85271615	10.72	-6.48	8,11
85271610	11.54	2.87	19,11
85271608	9.01	1.59	26,18
85271605		1.89	13
85271596	12.08	-4.77	9,12
85271594	12.38	-3.66	16,15
85271592	12.25	-6.57	14,24
85271589	14.77	3.43	24,15
85271587	9.61	-1.00	20,11
85271584	16.21	1.64	14,11
85271582	11.02	-2.90	20,8
85271579	9.25	1.07	22,21
85271572	10.91	-4.86	13,28
85271570	9.14	-1.23	19,14
85271569	14.80	-1.26	9,8
85271567	11.29	-4.38	26,3
85271566	10.13	-4.66	13,2
85271558	12.27	-4.14	13,26
85271557	9.79	-4.63	8,18
85271552	11.43	-4.53	9,2
85271550	6.16		15
85271548	7.01	6.29	9,32
85271547		-1.34	9
85271546	15.57	-7.16	20,18
85271545	16.28	-0.60	11,10
85271544	2.18	-4.92	35,2
85271543	12.25	-1.54	12,30
85271540	8.40	-3.24	7,21
85271531	9.05	-6.23	29,10
85271530	13.94	-1.97	16,18
85271529	10.02	3.72	11,13
85271528	4.04	1.75	37,14
85271527	11.65	-4.86	9,2
85271526	10.52	-4.65	26,28
85271524	9.36	0.94	9,13
85271514	13.18	-0.13	18,26
85271513	11.64	-1.71	18,17
85271509	9.67	3.57	13,17
85271505	12.19	-5.95	13,15
85271502	9.43	3.72	26,12
85271500	8.79	-1.05	22,12
85271499	13.22	-6.56	17,13
85271498	6.13	-3.79	22,15
85271489	10.22	3.68	13,2
85271487	9.89	-1.21	19,26
85271486	12.52	6.48	23,11
85271481	12.79	5.43	15,3
85271478	9.10	-0.85	15,8
85271473	11.38	-6.93	25,12
85271472	9.98	-4.91	15,18
85271471	9.25	1.07	21,20
85271470	10.15	-6.99	15,18
85271468	10.67	-0.97	12,26
85271467		4.72	12
85271466	4.00	2.71	23,15
85271465	8.58	3.21	15,8
85271463	16.48	-3.95	8,28
85271461	6.83	0.87	7,21
85271459	11.08	-7.38	13,15
85271458	9.77	-5.59	12,15
85271456	13.67	-4.73	12,21
85271452	13.60	-0.85	14,8
85271450	12.88	-4.91	13,29
85271449	11.55	-6.66	24,11
85271447	13.82	7.42	9,13
85271446	9.26	-2.32	8,21
85271443	13.10	-5.96	6,19
85271441	9.96	-4.09	10,13
85271439	13.77	-4.89	8,17
85271438	9.35	-5.61	16,14
85271437	11.13	-2.46	12,28
85271436	9.17	-5.19	17,19
85271434	10.40	8.43	18,8
85271432	11.94	2.10	15,11
85271429	9.50	-2.16	9,23
85271426	13.34	-1.33	13,24
85271425		-1.49	20
85271424	10.18	-4.42	15,27
85271422	9.33	-5.61	16,19
85271420	7.44	-4.98	19,11
85271418	14.31	-2.06	16,15
85271417	12.16	4.47	8,6
85271416	10.22	-6.66	33,20
85271415	10.77	-0.76	19,10
85271413	16.61	-1.36	17,27
85271410	7.50	-4.83	15,2
85271407	9.26	-4.70	13,16
85271405	9.48	-0.32	27,25
85271400	13.04	-1.85	14,13
85271399	12.16	2.28	18,24
85271391	12.53	-1.68	20,19
85271388	11.23	-4.28	11,16
85271387		5.97	2
85271385		0.05	7
85271384		-1.46	12
85271373	13.89	-4.26	6,5
85271371	9.05	-4.01	23,8
85271368	9.94	3.78	29,9
85271365	11.87	-4.84	8,26
85271364	8.78	-3.87	13,29
85271362	13.47	-3.36	13,15
85271356	13.37	0.61	14,10
85271353	18.37	-1.77	15,26
85271350	11.95	1.59	12,9
85271349	13.47	-4.27	31,33
85271348	10.20	2.34	34,25
85271346	13.50	1.89	13,4
85271342	10.85	-4.40	20,14
85271335	10.27	-1.25	26,13
85271328	9.93	-3.22	12,4
85271327	7.78	3.29	11,3
85271326	-1.23	-2.21	20,22
85271323	8.39	-4.42	33,33
85271321	8.25	-2.96	8,31
85271320	6.84	-0.16	7,23
85271318	4.09	3.13	33,2
85271315	11.75	0.75	17,19
85271313		-1.33	20
85271312	9.46	-2.16	15,7
85271311		-4.64	19
